stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
zenbus:StopPoint:SP:849270019:LOC,TRISTAN,TRISTAN,,43.58792,2.246976,,,0,,,0,,
zenbus:StopPoint:SP:834510011:LOC,BLANC,BLANC,,43.587425,2.248473,,,0,,,0,,
zenbus:StopPoint:SP:834460009:LOC,ZADKINE,ZADKINE,,43.587247,2.250502,,,0,,,0,,
zenbus:StopPoint:SP:828680009:LOC,RENOIR,RENOIR,,43.589211,2.250528,,,0,,,0,,
zenbus:StopPoint:SP:849350009:LOC,GOYA,GOYA,,43.590467,2.248944,,,0,,,0,,
zenbus:StopPoint:SP:828690011:LOC,TOULOUSE LAUTREC,TOULOUSE LAUTREC,,43.591046,2.246862,,,0,,,0,,
zenbus:StopPoint:SP:834500008:LOC,GAUGUIN,GAUGUIN,,43.592811,2.244134,,,0,,,0,,
zenbus:StopPoint:SP:834480011:LOC,PETIT TRAIN,PETIT TRAIN,,43.597709,2.22958,,,0,,,0,,
zenbus:StopPoint:SP:856830008:LOC,MAHUZIES,MAHUZIES,,43.608128,2.242178,,,0,,,0,,
zenbus:StopPoint:SP:834490010:LOC,ROUCAYROL,ROUCAYROL,,43.609597,2.243142,,,0,,,0,,
zenbus:StopPoint:SP:826690011:LOC,AGOUT,AGOUT,,43.611789,2.244595,,,0,,,0,,
zenbus:StopPoint:SP:856850011:LOC,ROQUECOURBE,ROQUECOURBE,,43.613879,2.244188,,,0,,,0,,
zenbus:StopPoint:SP:849340010:LOC,ROCHER DE LUNEL,ROCHER DE LUNEL,,43.619677,2.247262,,,0,,,0,,
zenbus:StopPoint:SP:826700011:LOC,GOURJADE,GOURJADE,,43.621658,2.250097,,,0,,,0,,
zenbus:StopPoint:SP:834510013:LOC,,COLLEGE,,43.581577,2.258985,,,0,,,0,,
zenbus:StopPoint:SP:824790006:LOC,CAMUS/R,CAMUS,,43.593008,2.249242,,,0,,,0,,
zenbus:StopPoint:SP:826660005:LOC,RAVEL/R,RAVEL,,43.589717,2.255829,,,0,,,0,,
zenbus:StopPoint:SP:836150005:LOC,,VENISE,,43.600418,2.243196,,,0,,,0,,
zenbus:StopPoint:SP:845410008:LOC,SARRAIL,SARRAIL,,43.598896,2.243218,,,0,,,0,,
zenbus:StopPoint:SP:856840007:LOC,CORNEILLE/R,CORNEILLE,,43.598121,2.244859,,,0,,,0,,
zenbus:StopPoint:SP:834470008:LOC,PREVERT/R,PREVERT,,43.596431,2.246111,,,0,,,0,,
zenbus:StopPoint:SP:843720013:LOC,CRABIE/R,CRABIE,,43.594429,2.247212,,,0,,,0,,
zenbus:StopPoint:SP:851140009:LOC,PASCAL/R,PASCAL,,43.594142,2.251488,,,0,,,0,,
zenbus:StopPoint:SP:858800009:LOC,MERIMEE/R,MERIMEE,,43.595199,2.253365,,,0,,,0,,
zenbus:StopPoint:SP:854940008:LOC,TOUSSAINT/R,TOUSSAINT,,43.593235,2.255158,,,0,,,0,,
zenbus:StopPoint:SP:837880008:LOC,PLACE LAMEILHE/R,PLACE LAMEILHE,,43.592271,2.254695,,,0,,,0,,
zenbus:StopPoint:SP:824770007:LOC,BERLIOZ/R,BERLIOZ,,43.586879,2.257097,,,0,,,0,,
zenbus:StopPoint:SP:843690023:LOC,FAURE/R,FAURE,,43.586453,2.259475,,,0,,,0,,
zenbus:StopPoint:SP:826670009:LOC,HONEGGER/R,HONEGGER,,43.585197,2.258876,,,0,,,0,,
zenbus:StopPoint:SP:824770009:LOC,MILHAUD,MILHAUD,,43.583583,2.257589,,,0,,,0,,
zenbus:StopPoint:SP:824790008:LOC,MARTINET/R,MARTINET,,43.621103,2.265596,,,0,,,0,,
zenbus:StopPoint:SP:826670008:LOC,LA PRADE,LA PRADE,,43.619578,2.269844,,,0,,,0,,
zenbus:StopPoint:SP:830780022:LOC,FONTAINES/R,FONTAINES,,43.618059,2.269785,,,0,,,0,,
zenbus:StopPoint:SP:858810008:LOC,CANTELOUBE/R,CANTELOUBE,,43.61527,2.268351,,,0,,,0,,
zenbus:StopPoint:SP:853080008:LOC,SAILLENC/R,SAILLENC,,43.613256,2.267061,,,0,,,0,,
zenbus:StopPoint:SP:826700010:LOC,MEULES/R,MEULES,,43.610847,2.263934,,,0,,,0,,
zenbus:StopPoint:SP:843760007:LOC,PARC DES EXPOSITIONS/R,PARC DES EXPOSITIONS,,43.609682,2.260611,,,0,,,0,,
zenbus:StopPoint:SP:834490007:LOC,BOSSUET/R,BOSSUET,,43.592769,2.251874,,,0,,,0,,
zenbus:StopPoint:SP:854940006:LOC,COUPERIN/R,COUPERIN,,43.591488,2.254076,,,0,,,0,,
zenbus:StopPoint:SP:843690019:LOC,VENISE,VENISE,,43.600426,2.243599,,,0,,,0,,
zenbus:StopPoint:SP:858810005:LOC,PORCHES,PORCHES,,43.601713,2.243659,,,0,,,0,,
zenbus:StopPoint:SP:834510009:LOC,BERLIOZ,BERLIOZ,,43.587278,2.256583,,,0,,,0,,
zenbus:StopPoint:SP:858810007:LOC,RAVEL,RAVEL,,43.589451,2.256055,,,0,,,0,,
zenbus:StopPoint:SP:826710007:LOC,CAMUS,CAMUS,,43.593066,2.249021,,,0,,,0,,
zenbus:StopPoint:SP:856840006:LOC,VERDUN,VERDUN,,43.582416,2.248097,,,0,,,0,,
zenbus:StopPoint:SP:849340008:LOC,KERVENOAEL,KERVENOAEL,,43.58224,2.25121,,,0,,,0,,
zenbus:StopPoint:SP:843760006:LOC,LE VAL,LE VAL,,43.581494,2.252525,,,0,,,0,,
zenbus:StopPoint:SP:828690009:LOC,NAYRAL,NAYRAL,,43.581284,2.254842,,,0,,,0,,
zenbus:StopPoint:SP:834490008:LOC,LE NOTRE,LE NOTRE,,43.582578,2.256418,,,0,,,0,,
zenbus:StopPoint:SP:845410007:LOC,HONEGGER,HONEGGER,,43.585094,2.258736,,,0,,,0,,
zenbus:StopPoint:SP:824790007:LOC,FAURE,FAURE,,43.586596,2.259529,,,0,,,0,,
zenbus:StopPoint:SP:830780021:LOC,PLACE LAMEILHE,PLACE LAMEILHE,,43.591898,2.254985,,,0,,,0,,
zenbus:StopPoint:SP:826690009:LOC,TOUSSAINT,TOUSSAINT,,43.593393,2.255193,,,0,,,0,,
zenbus:StopPoint:SP:834480009:LOC,MERIMEE,MERIMEE,,43.595291,2.252892,,,0,,,0,,
zenbus:StopPoint:SP:834470007:LOC,PASCAL,PASCAL,,43.594066,2.251166,,,0,,,0,,
